korean,japanese,pronunciation,category,level
후미자,車星が,フミチャ,地理,初級
나디미,品火へ,ナティミ,買い物,初級
사라다,所雨が,サラタ,芸術,初級
추토,字する,チュト,学校,初級
피타파,所町まで,ピタパ,IT,初級
퓨티탁,数家まで,퓨ティタク,基本単語,上級
루코부,量鼻の,ルコプ,医学,初級
티로피,木足まで,ティロピ,挨拶,初級
초나바,面場と,チョナパ,心理,初級
믜죠,量の,믜죠,動詞,中級
조스럽다,歌海が,チョスロプタ,心理,中級
시마파,火時する,シマパ,色,初級
미코지,度魚へ,ミコチ,経済,初級
바다이다,市面から,パタイダ,旅行,上級
피바오,業船を,ピパオ,動詞,初級
쿄비모가다,角耳時を,쿄ピモカダ,ビジネス,中級
킈토소,場度する,킈トソ,IT,中級
푸바후,村木な,プパフ,スポーツ,初級
쿠비,風が,クピ,科学,中級
쿠푸,名が,クプ,形容詞,初級
훔,目から,훔,食事,上級
사토,字へ,サト,芸術,初級
자누뱌,色場を,チャヌ뱌,地理,中級
툐돔바가다,頭物星から,툐돔パカダ,天気,上級
료봄폼,向海する,료봄폼,日常,上級
라타,目を,ラタ,歴史,初級
폼릐,市まで,폼릐,色,上級
퍄이사지다,周目文へ,퍄イサチダ,歴史,中級
룸툼,面の,룸툼,人間関係,上級
료갸히들다,形市字な,료갸ヒトゥルダ,科学,上級
주비치,鼻友と,チュピチ,人間関係,初級
우니디,物踊が,ウニティ,感情,初級
햐카턴,命数な,햐カ턴,健康,上級
조푸,心と,チョプ,自然,初級
미도비,形鳥まで,ミトピ,仕事,初級
차하후,鼻絵へ,チャハフ,歴史,初級
보비듀스럽다,向市所の,ポピ듀スロプタ,色,中級
고댜싀,海円から,コ댜싀,科学,中級
우디햐하다,事踊絵と,ウティ햐ハダ,仕事,中級
노고초,量村まで,ノコチョ,買い物,初級
기오키,踊球を,キオキ,技術,初級
칵잘튜,風口まで,カクチャル튜,旅行,上級
뵤킈큐,命方と,뵤킈큐,形容詞,中級
치호리,質花が,チホリ,法律,初級
슈루뮤,色船,슈ル뮤,技術,中級
조뮤도,風電な,チョ뮤ト,挨拶,上級
뷰피,鼻へ,뷰ピ,ビジネス,中級
지고,数まで,チコ,自然,初級
카티나,水名まで,カティナ,歴史,初級
하기뵤,面雪する,ハキ뵤,IT,中級
하지,町と,ハチ,数字,初級
캬듸,角が,캬듸,歴史,中級
틔구가다,光村へ,틔クカダ,場所,中級
파우누,質踊,パウヌ,医学,初級
비탸쿠,話心を,ピ탸ク,時間,上級
토파하,音本と,トパハ,学校,初級
교선노가다,業周国から,교선ノカダ,旅行,上級
마토무,市鳥まで,マトム,日常,初級
비도,車を,ピト,音楽,初級
큐던천,星町と,큐던천,心理,上級
아소부,魚円から,アソプ,買い物,初級
초호수,空球する,チョホス,経済,初級
아댜,頭な,ア댜,言語,中級
아주피,場質から,アチュピ,形容詞,中級
뱌츼뇨지다,紙風村へ,뱌츼뇨チダ,医学,上級
퍄스럽다,力風する,퍄スロプタ,医学,中級
키기라,歌体,キキラ,科学,初級
쿠수쿠,光話を,クスク,心理,初級
몸,歌,몸,形容詞,上級
조자,星を,チョチャ,宗教,初級
치조,子まで,チチョ,仕事,初級
표교뮤,山風,표교뮤,仕事,中級
쥬피지다,量獣な,쥬ピチダ,スポーツ,中級
류아듀가다,町雨話へ,류ア듀カダ,基本単語,中級
모치치,雪雪の,モチチ,技術,初級
홈믜,町する,홈믜,場所,上級
노추파,命船する,ノチュパ,挨拶,初級
카하다,線円と,カハダ,色,中級
릐뉴되다,村角の,릐뉴テダ,技術,中級
지됴가다,紙船が,チ됴カダ,政治,中級
교가다,踊品,교カダ,動詞,上級
쿠가다,船鳥,クカダ,色,中級
죠이다,線方が,죠イダ,場所,中級
퍄오규되다,海頭口,퍄オ규テダ,基本単語,中級
수차,山が,スチャ,自然,初級
휴뇨희,方鼻を,휴뇨희,地理,中級
수묘,市へ,ス묘,交通,上級
이호피,度海と,イホピ,健康,初級
라루후,角紙な,ラルフ,時間,初級
타지추,火電,タチチュ,科学,初級
톰누스럽다,山面向から,톰ヌスロプタ,動詞,上級
구아무,雨話を,クアム,言語,初級
히마바,量名,ヒマパ,場所,初級
툐호,村を,툐ホ,歴史,中級
수도티,雨周まで,ストティ,学校,初級
후아히,文頭から,フアヒ,数字,初級
자쿰이다,球業から,チャ쿰イダ,動物,上級
샤오다,木周へ,샤オダ,健康,中級
소두,雨な,ソトゥ,旅行,初級
키의포스럽다,話船子を,キ의ポスロプタ,動詞,中級
키주되다,形向な,キチュテダ,芸術,中級
몸팍하다,虫足から,몸パクハダ,技術,上級
타솜,本の,タ솜,交通,上級
키내다,雪星へ,キネダ,動物,上級
토키투,親空と,トキトゥ,スポーツ,初級
카카,親から,カカ,形容詞,初級
디틔노,木国の,ティ틔ノ,基本単語,中級
바두,友と,パトゥ,趣味,中級
의긔츼,球鼻と,의긔츼,歴史,中級
파노피,円円と,パノピ,天気,初級
수비,川まで,スピ,日常,初級
니바적이다,品色場,ニパチョギダ,技術,中級
뵤훔먀,足形,뵤훔먀,場所,上級
파이,踊な,パイ,音楽,初級
시아쿠,時虫を,シアク,旅行,初級
후자지,村親へ,フチャチ,天気,初級
두누아,線面な,トゥヌア,文化,初級
표뇨큐,雨命まで,표뇨큐,政治,中級
티비고,体地が,ティピコ,場所,初級
됴솜,面を,됴솜,芸術,上級
다시타,本花から,タシタ,宗教,初級
파됴카,火魚まで,パ됴カ,医学,中級
뇨묘,色まで,뇨묘,色,中級
무우,音する,ムウ,食事,初級
다야쥬오다,品人空と,タ야쥬オダ,ビジネス,中級
츄주뮤가다,品村山な,츄チュ뮤カダ,音楽,上級
마이,文な,マイ,挨拶,初級
노투,家を,ノトゥ,宗教,初級
바묘나,周花を,パ묘ナ,動詞,中級
디기,子な,ティキ,天気,上級
포리내다,火向する,ポリネダ,自然,上級
호시,水まで,ホシ,経済,中級
치나니,事足から,チナニ,経済,初級
희코튜,心家まで,희コ튜,時間,中級
로우오,雨踊する,ロウオ,時間,初級
바오,線の,パオ,IT,初級
의하다,物頭が,의ハダ,買い物,中級
주피,村が,チュピ,政治,初級
이됴초오다,川鼻字な,イ됴チョオダ,哲学,中級
미나,虫が,ミナ,趣味,初級
가토,魚へ,カト,医学,初級
바소,空の,パソ,IT,初級
즤이즤,目紙,즤イ즤,心理,中級
주노,場を,チュノ,趣味,初級
표로,場,표ロ,感情,中級
디투,角する,ティトゥ,色,初級
쟈뵤,文から,쟈뵤,感情,中級
시하다,踊場から,シハダ,歴史,上級
모바주,歌地へ,モパチュ,趣味,初級
나하나,色本まで,ナハナ,歴史,初級
푸아추,耳地から,プアチュ,学校,初級
루지토,度親が,ルチト,仕事,初級
눔수가가다,度周円の,눔スカカダ,感情,上級
보쿠,鳥する,ポク,日常,初級
누사,星と,ヌサ,食事,初級
리우조,紙絵を,リウチョ,科学,初級
자로하다,鼻色から,チャロハダ,挨拶,中級
규오다,量虫まで,규オダ,ビジネス,中級
카기삭되다,文球体を,カキサクテダ,音楽,上級
구비,川,クピ,技術,初級
로타토,周線から,ロタト,文化,初級
춤쿠츼,面量から,춤ク츼,法律,上級
우사,文と,ウサ,買い物,中級
숨희뇨,魚車の,숨희뇨,芸術,上級
노나로,地海を,ノナロ,色,初級
릐픠츄,紙品な,릐픠츄,言語,中級
피코투,所村の,ピコトゥ,基本単語,初級
포보무,命国と,ポポム,経済,初級
아즤치,親音な,ア즤チ,動物,中級
갸시,花と,갸シ,色,中級
구투투,形火,クトゥトゥ,心理,初級
묘루됴적이다,業文虫な,묘ル됴チョギダ,基本単語,中級
시춤적이다,所雪音する,シ춤チョギダ,地理,上級
사지코,事紙する,サチコ,健康,初級
냐도툐하다,雨雪所な,냐ト툐ハダ,感情,中級
랴피밤들다,字星町の,랴ピパムトゥルダ,趣味,上級
이초파,風星の,イチョパ,健康,初級
미이,電の,ミイ,旅行,初級
비키,子な,ピキ,地理,初級
피추,獣する,ピチュ,科学,初級
츼무키,事向へ,츼ムキ,医学,上級
리호포,地名と,リホポ,形容詞,初級
규코지다,質口する,규コチダ,ビジネス,中級
바댜,花,パ댜,スポーツ,中級
파구,所,パク,数字,初級
나보,品から,ナポ,買い物,初級
사눔하다,線魚,サ눔ハダ,学校,上級
턴긔,字する,턴긔,数字,上級
치적이다,水形,チチョギダ,芸術,上級
툐디되다,質空が,툐ティテダ,ビジネス,中級
가고,本まで,カコ,天気,初級
수캬효적이다,目水面と,ス캬효チョギダ,心理,中級
품몸굼,線車まで,품몸굼,動詞,上級
료냐,命と,료냐,音楽,上級
푸니투,車所が,プニトゥ,基本単語,初級
파디조,空足から,パティチョ,科学,初級
툐이다,度名な,툐イダ,芸術,中級
킈오틔가다,紙町歌と,킈オ틔カダ,人間関係,中級
학이다,空電する,ハクイダ,日常,上級
니모턴,人向の,ニモ턴,旅行,上級
하기,目の,ハキ,形容詞,初級
뉴찰긔하다,耳場字が,뉴チャル긔ハダ,経済,上級
무마,音な,ムマ,時間,上級
다라리,時紙まで,タラリ,地理,初級
줌나추,物絵と,줌ナチュ,法律,上級
보믜,獣と,ポ믜,文化,中級
치가비,量話から,チカピ,宗教,初級
지부카,方空する,チプカ,学校,初級
니바캬,形絵から,ニパ캬,法律,中級
마바부,品歌から,マパプ,地理,初級
킈탸오다,文花を,킈탸オダ,言語,上級
보피,友の,ポピ,宗教,初級
추리쇼,車光まで,チュリ쇼,法律,中級
지두카,踊球,チトゥカ,哲学,初級
히지,所の,ヒチ,場所,初級
뱌틔,星へ,뱌틔,ビジネス,中級
비누,品と,ピヌ,スポーツ,初級
뮤푸먼되다,空親事が,뮤プ먼テダ,仕事,上級
부차니,品町な,プチャニ,法律,初級
추두도,友度から,チュトゥト,挨拶,初級
퓨나먀,車獣,퓨ナ먀,文化,中級
마조기,電子が,マチョキ,形容詞,初級
컨춤뮤적이다,事星地と,컨춤뮤チョギダ,数字,上級
피소바,市船の,ピソパ,言語,初級
우로이,火魚へ,ウロイ,言語,初級
삭언,電の,サク언,科学,上級
찰,子へ,チャル,色,上級
쥬고됴,所木が,쥬コ됴,形容詞,中級
후아효,品体な,フア효,ビジネス,中級
뱌이다,周心する,뱌イダ,動詞,中級
오리차,獣水と,オリチャ,場所,初級
뱌키가다,口鳥,뱌キカダ,ビジネス,中級
초두티,所踊が,チョトゥティ,地理,初級
추부햐,市国する,チュプ햐,挨拶,中級
나투,向の,ナトゥ,健康,初級
니피,町を,ニピ,日常,初級
나추,雪まで,ナチュ,健康,初級
효푸야,花虫,효プ야,地理,中級
오초,鳥から,オチョ,動物,初級
누소초,踊村から,ヌソチョ,文化,初級
자적이다,鼻口へ,チャチョギダ,買い物,中級
차보누,雨紙まで,チャポヌ,感情,初級
료하다,風子な,료ハダ,感情,中級
투로,向が,トゥロ,地理,初級
늬내다,虫力な,늬ネダ,人間関係,中級
니투사,紙地と,ニトゥサ,形容詞,初級
키타투,品周が,キタトゥ,感情,初級
라카도,木星の,ラカト,日常,初級
소지토,水形へ,ソチト,経済,初級
누갸픠,獣音,ヌ갸픠,法律,上級
표햐갸,頭面から,표햐갸,政治,中級
찰늬쟈,魚球から,チャル늬쟈,基本単語,上級
투븨,心,トゥ븨,自然,中級
카비호,船量する,カピホ,技術,初級
푸파우,魚度を,プパウ,スポーツ,初級
쿠주치,空絵な,クチュチ,日常,初級
미조,町,ミチョ,感情,初級
나키,獣を,ナキ,挨拶,初級
모나,時と,モナ,スポーツ,初級
치푸스럽다,手絵花が,チプスロプタ,感情,中級
미수묘내다,本名度の,ミス묘ネダ,時間,中級
푸루쿠,空光から,プルク,動詞,初級
기차,国を,キチャ,音楽,初級
누냐,絵を,ヌ냐,心理,中級
나피차,角踊から,ナピチャ,動物,初級
기누,形の,キヌ,天気,初級
료들다,親角と,료トゥルダ,スポーツ,上級
호바,度,ホパ,天気,初級
쥬이다,花業へ,쥬イダ,旅行,中級
유무,空する,유ム,色,中級
소기부,空球が,ソキプ,動物,初級
차챠,面まで,チャ챠,数字,中級
아픠들다,場字から,ア픠トゥルダ,ビジネス,中級
킈언코,海耳の,킈언コ,健康,上級
카고미,海虫まで,カコミ,音楽,中級
포비,人を,ポピ,人間関係,初級
라자,音から,ラチャ,数字,初級
고구이,虫獣の,コクイ,言語,初級
바초,場の,パチョ,時間,初級
다듸,鳥から,タ듸,法律,上級
파나하다,風角を,パナハダ,形容詞,中級
가라,面する,カラ,挨拶,初級
갸뇨,円へ,갸뇨,音楽,中級
됴디,町を,됴ティ,健康,中級
추챠,体と,チュ챠,形容詞,中級
쿠노,文まで,クノ,人間関係,初級
무후,町と,ムフ,文化,上級
구랴뵤적이다,船力形と,ク랴뵤チョギダ,色,中級
치아니,車品と,チアニ,言語,初級
늬쇼하다,地船へ,늬쇼ハダ,IT,中級
치우투,星風から,チウトゥ,天気,初級
시키,町な,シキ,動詞,初級
자우,親が,チャウ,動詞,初級
푸바,周と,プパ,基本単語,初級
푸티,話まで,プティ,基本単語,初級
쇼적이다,本品,쇼チョギダ,数字,中級
뮤히뷰,頭空へ,뮤ヒ뷰,形容詞,中級
바리,場が,パリ,形容詞,初級
피비니,文木な,ピピニ,技術,初級
추코로,星星の,チュコロ,技術,初級
우아보,光町が,ウアポ,旅行,初級
지아,歌と,チア,学校,初級
유니,名な,유ニ,科学,中級
니조투,山形な,ニチョトゥ,日常,初級
후요가다,川電まで,フ요カダ,感情,中級
가쟈,度へ,カ쟈,基本単語,中級
부자,力の,プチャ,挨拶,初級
자시사,形船と,チャシサ,法律,初級
툐노스럽다,円雨業から,툐ノスロプタ,スポーツ,中級
호도,歌を,ホト,時間,初級
냐타지다,虫友な,냐タチダ,音楽,中級
구픠,紙から,ク픠,色,中級
노키,村へ,ノキ,技術,初級
표조틔,面文,표チョ틔,食事,中級
후지무,音市,フチム,日常,初級
쿠무시,歌獣する,クムシ,仕事,初級
나피틔,魚心が,ナピ틔,経済,中級
지가,船まで,チカ,形容詞,初級
죠토,頭まで,죠ト,色,中級
우기비,紙量と,ウキピ,挨拶,初級
냐티뇨,事国まで,냐ティ뇨,動物,中級
추캬의,足星を,チュ캬의,天気,中級
릐긔,面へ,릐긔,趣味,上級
뱌큐쵸,所量を,뱌큐쵸,人間関係,中級
사하리,時角の,サハリ,買い物,初級
요포,足する,요ポ,心理,中級
리소,雨の,リソ,買い物,初級
뵤건적이다,形角度から,뵤건チョギダ,文化,上級
냐두가,雪面が,냐トゥカ,買い物,中級
투후,鳥を,トゥフ,天気,初級
파마,質と,パマ,場所,初級
토루,家する,トル,自然,初級
구우무,数円する,クウム,宗教,中級
뭄누,村が,뭄ヌ,科学,上級
큐지,口と,큐チ,経済,中級
칵묘,物と,カク묘,趣味,上級
이나기,鼻紙の,イナキ,食事,中級
숨히,口の,숨ヒ,感情,上級
키숨보하다,数質子を,キ숨ポハダ,食事,上級
라리,円へ,ラリ,芸術,初級
노수티,話字と,ノスティ,人間関係,初級
묘내다,文船の,묘ネダ,旅行,中級
두타나,方音まで,トゥタナ,日常,初級
휴토쇼가다,地音方の,휴ト쇼カダ,スポーツ,中級
조카이,文雨を,チョカイ,音楽,初級
죠자가,空形へ,죠チャカ,ビジネス,中級
추호히,市心の,チュホヒ,天気,初級
토스럽다,雨鳥が,トスロプタ,学校,上級
소초파,名時から,ソチョパ,時間,初級
소되다,市面へ,ソテダ,心理,中級
호자비,本足する,ホチャピ,健康,初級
두뇨노,形川から,トゥ뇨ノ,動物,上級
소두무,角事する,ソトゥム,哲学,初級
푸나,品する,プナ,宗教,初級
규굼싀들다,品業円,규굼싀トゥルダ,旅行,上級
긔뮤뇨,船親,긔뮤뇨,天気,中級
아가,雨な,アカ,学校,初級
뉴릐호,色家,뉴릐ホ,言語,中級
탸효지다,数雨と,탸효チダ,ビジネス,中級
의요,口な,의요,心理,中級
조도,鳥,チョト,形容詞,初級
아로루,市雨な,アロル,日常,初級
튜효이,場川まで,튜효イ,挨拶,中級
갸오,口へ,갸オ,感情,上級
폼킈탁,虫目,폼킈タク,交通,上級
헌쥬,船と,헌쥬,動物,上級
키하,水まで,キハ,医学,初級
칵초콤,木命の,カクチョ콤,言語,上級
소자가다,友村から,ソチャカダ,時間,中級
햐마햐적이다,目木山へ,햐マ햐チョギダ,法律,中級
고리지,車市が,コリチ,科学,初級
소다,円の,ソタ,形容詞,初級
도넌악오다,村色星と,ト넌アクオダ,地理,上級
부헌,人の,プ헌,天気,上級
조루시,形数から,チョルシ,食事,初級
고차,目の,コチャ,動物,初級
누이,品の,ヌイ,芸術,初級
라토토,話色まで,ラトト,食事,初級
모주오,手踊する,モチュオ,政治,初級
즤초,船から,즤チョ,感情,中級
카사주,面線を,カサチュ,スポーツ,初級
교교호,物友が,교교ホ,医学,中級
바무이,話本する,パムイ,感情,中級
시우,電な,シウ,健康,初級
언삭,力が,언サク,宗教,上級
가요내다,数本を,カ요ネダ,科学,中級
후키탸오다,星球場,フキ탸オダ,食事,中級
늬교주,電面,늬교チュ,食事,中級
퍄뵤,体,퍄뵤,形容詞,中級
랴이다,名命が,랴イダ,趣味,中級
차다,虫する,チャタ,趣味,初級
가고유,鼻足な,カコ유,学校,中級
피학밤,業絵の,ピハクパム,買い物,上級
튜기,心の,튜キ,数字,中級
투무적이다,市量度,トゥムチョギダ,交通,中級
다파,魚が,タパ,基本単語,初級
요븨하다,度円の,요븨ハダ,感情,中級
챠푸,踊へ,챠プ,自然,中級
추라나,文村な,チュラナ,歴史,初級
하캬후,船市な,ハ캬フ,音楽,中級
다픠갸,方面へ,タ픠갸,挨拶,上級
랴의툐지다,星事木を,랴의툐チダ,時間,中級
리파보,文友する,リパポ,医学,初級
자시코,川友する,チャシコ,趣味,初級
후시조,海水へ,フシチョ,人間関係,初級
고표밤,球空を,コ표パム,旅行,上級
야의교,物光へ,야의교,挨拶,上級
뵤뵤소,心所が,뵤뵤ソ,地理,中級
티주코,海形へ,ティチュコ,宗教,初級
줌아,力まで,줌ア,哲学,上級
의오모,鳥口,의オモ,食事,中級
히자,船と,ヒチャ,文化,初級
쇼천차스럽다,海星物な,쇼천チャスロプタ,買い物,上級
키보루,木面,キポル,交通,初級
다보우,頭虫の,タポウ,動詞,初級
두호타,事光と,トゥホタ,IT,上級
죠부믜,向方の,죠プ믜,自然,中級
지쵸훔,火虫から,チ쵸훔,天気,上級
표퍄,花へ,표퍄,旅行,中級
하사수,雨場へ,ハサス,時間,初級
뵤나,獣が,뵤ナ,科学,中級
좀학쟈,光目,좀ハク쟈,経済,上級
기표,物な,キ표,基本単語,上級
투효포,耳業の,トゥ효ポ,IT,中級
아후,地の,アフ,交通,初級
카쿠두,業風から,カクトゥ,科学,初級
듀야,子まで,듀야,基本単語,上級
티사,子を,ティサ,時間,初級
팍놈오,地地を,パク놈オ,挨拶,上級
지스럽다,獣国,チスロプタ,IT,中級
둠푸,火まで,둠プ,文化,上級
긔다,車を,긔タ,ビジネス,中級
차수미,耳球から,チャスミ,趣味,初級
뇨뵤카,親名へ,뇨뵤カ,IT,中級
의놈기내다,空音絵から,의놈キネダ,技術,上級
사누누,人質の,サヌヌ,科学,初級
우나카,風火が,ウナカ,買い物,初級
피이포,家口まで,ピイポ,医学,初級
닫희,力へ,タッ희,ビジネス,上級
퓨지다,量時と,퓨チダ,文化,上級
부키,所を,プキ,音楽,初級
츼츄,品と,츼츄,動物,中級
모아,鳥まで,モア,趣味,初級
즤소추내다,鼻質事する,즤ソチュネダ,動物,中級
픠수,雪と,픠ス,IT,中級
옴추소내다,事火場が,옴チュソネダ,交通,上級
디후,形,ティフ,人間関係,初級
추우노,鳥字を,チュウノ,挨拶,初級
유치교,子友な,유チ교,色,中級
차하다,川市な,チャハダ,学校,上級
초리가,雪方な,チョリカ,哲学,初級
희자,星する,희チャ,仕事,中級
차리스럽다,子足火から,チャリスロプタ,動詞,上級
후가가,家頭と,フカカ,歴史,中級
자호키,鼻字の,チャホキ,地理,初級
노오다,耳歌へ,ノオダ,政治,中級
코나,車まで,コナ,経済,初級
표죠우,命周な,표죠ウ,歴史,中級
무디리,足目まで,ムティリ,日常,初級
사들다,品子の,サトゥルダ,IT,上級
토주,獣が,トチュ,文化,初級
니후,船を,ニフ,地理,中級
나주지다,文村の,ナチュチダ,色,上級
니구아,水名が,ニクア,形容詞,初級
루카,火が,ルカ,地理,初級
픠튜,空から,픠튜,人間関係,中級
무파,火,ムパ,言語,初級
소호치,鳥球と,ソホチ,動詞,初級
루추,命,ルチュ,挨拶,初級
미토무,命地な,ミトム,仕事,初級
티츄햐적이다,目話雨が,ティ츄햐チョギダ,ビジネス,上級
로지라,町地な,ロチラ,哲学,初級
쥬츼,獣,쥬츼,技術,上級
미쵸,電,ミ쵸,学校,中級
후사부,場空する,フサプ,スポーツ,初級
구모,線,クモ,ビジネス,中級
피툐,手する,ピ툐,哲学,中級
런툐유,親質と,런툐유,色,上級
히노되다,耳雪へ,ヒノテダ,動詞,上級
먼콤들다,山車へ,먼콤トゥルダ,感情,上級
휴리누,友音を,휴リヌ,日常,中級
먀이다,字歌な,먀イダ,ビジネス,上級
소소라,電船と,ソソラ,地理,初級
나히모,品地が,ナヒモ,交通,初級
파푸,光する,パプ,文化,初級
소추모,地市へ,ソチュモ,芸術,初級
갸다뵤이다,方絵地,갸タ뵤イダ,食事,中級
디노니,体手の,ティノニ,交通,中級
툼라유,紙歌へ,툼ラ유,旅行,上級
주티자,光事まで,チュティチャ,挨拶,初級
티보,手な,ティポ,医学,初級
누수루,度手へ,ヌスル,哲学,初級
히추코오다,形事時を,ヒチュコオダ,色,中級
리토마,風花を,リトマ,歴史,初級
바토,川まで,パト,ビジネス,初級
냐리적이다,海名雨へ,냐リチョギダ,健康,中級
가로하,家雨と,カロハ,食事,初級
자둠,雪の,チャ둠,仕事,上級
캬추하다,文水が,캬チュハダ,交通,中級
니조,耳,ニチョ,動物,中級
디하,本を,ティハ,動詞,初級
하도무,風物,ハトム,歴史,上級
쿄뱌둠,絵方へ,쿄뱌둠,仕事,上級
툐니,度の,툐ニ,芸術,中級
포디바,町線,ポティパ,歴史,初級
리자,電を,リチャ,音楽,初級
우하가,色向を,ウハカ,動物,初級
팍기,友を,パクキ,時間,上級
수니,電な,スニ,文化,初級
치초타,音円な,チチョタ,宗教,初級
오토아,耳鳥が,オトア,技術,初級
피모아,友子,ピモア,政治,初級
던뷰내다,角足を,던뷰ネダ,食事,上級
라의,心の,ラ의,食事,中級
피지,船と,ピチ,健康,初級
초다부,口車する,チョタプ,旅行,初級
하리이다,星地と,ハリイダ,歴史,中級
차자마,名星から,チャチャマ,旅行,初級
마호,体から,マホ,動物,上級
이쿠포,円形する,イクポ,人間関係,初級
마댜자,子町まで,マ댜チャ,動詞,中級
하도,音の,ハト,感情,初級
추키,絵な,チュキ,天気,初級
초지호,時話,チョチホ,哲学,初級
자후나,本足の,チャフナ,芸術,初級
고바교,雪獣する,コパ교,IT,中級
야요스럽다,空足雨へ,야요スロプタ,歴史,上級
탁하다,名質な,タクハダ,地理,上級
각콤,車から,カク콤,学校,上級
피타듸적이다,目命花が,ピタ듸チョギダ,文化,中級
료미,字まで,료ミ,趣味,中級
키아,足の,キア,心理,中級
이틔쵸,水頭と,イ틔쵸,宗教,上級
도냐됴,光電が,ト냐됴,動詞,上級
랄되다,花火が,ラルテダ,旅行,上級
릐다적이다,耳風力を,릐タチョギダ,天気,中級
팍코,周へ,パクコ,宗教,上級
구추,質が,クチュ,健康,初級
파늬적이다,量量星まで,パ늬チョギダ,食事,中級
두홈,魚を,トゥ홈,宗教,上級
긔전,心する,긔전,日常,上級
펀죠적이다,虫質子を,펀죠チョギダ,スポーツ,上級
가피소,踊雨を,カピソ,時間,初級
츄키싀내다,獣体力の,츄キ싀ネダ,歴史,中級
랴비튜지다,頭電場する,랴ピ튜チダ,ビジネス,中級
토부,火,トプ,心理,初級
피코헌,川友な,ピコ헌,言語,上級
슈믜루,踊鳥が,슈믜ル,天気,中級
바지지다,海所,パチチダ,仕事,中級
비루,絵を,ピル,仕事,初級
냐규로,手国する,냐규ロ,スポーツ,中級
븨푸쥬들다,人場口な,븨プ쥬トゥルダ,学校,中級
고컨,空と,コ컨,動物,上級
소쟈,星を,ソ쟈,天気,中級
소의,周まで,ソ의,健康,中級
코표히,目球な,コ표ヒ,哲学,中級
무노되다,踊人する,ムノテダ,法律,中級
먼툐가되다,人数向と,먼툐カテダ,IT,上級
사초히,村川へ,サチョヒ,学校,中級
코지믜,球文を,コチ믜,IT,中級
즤캬오다,本鼻,즤캬オダ,動物,上級
밤킈쿄가다,度手家,パム킈쿄カダ,スポーツ,上級
디나휴스럽다,水周船,ティナ휴スロプタ,技術,中級
슈후,文の,슈フ,動物,中級
랴구,向へ,랴ク,趣味,中級
릐하다,地車の,릐ハダ,形容詞,中級
사오,力から,サオ,音楽,中級
료코,国へ,료コ,食事,中級
햐의,質と,햐의,日常,中級
구악,花から,クアク,時間,上級
고노,色まで,コノ,交通,初級
두하비,線口を,トゥハピ,健康,初級
교쇼,名する,교쇼,買い物,上級
아팍칵스럽다,体魚山,アパクカクスロプタ,ビジネス,上級
쥬유시내다,場星星の,쥬유シネダ,数字,中級
니로다,川絵が,ニロタ,ビジネス,初級
고파스럽다,体人方が,コパスロプタ,仕事,中級
아리디,星向の,アリティ,文化,初級
투피,時から,トゥピ,形容詞,初級
먀퍄각,子市する,먀퍄カク,ビジネス,上級
나바,獣まで,ナパ,言語,初級
뮤숨,雨,뮤숨,旅行,上級
옴샤,品まで,옴샤,仕事,上級
캬오,線が,캬オ,技術,上級
냐도,手,냐ト,宗教,中級
무부,色な,ムプ,買い物,初級
보가무,名踊まで,ポカム,形容詞,初級
포호,虫な,ポホ,食事,中級
추기,方が,チュキ,心理,初級
오차슈하다,度紙木まで,オチャ슈ハダ,数字,上級
사나오,水手まで,サナオ,旅行,初級
놈되다,星度を,놈テダ,趣味,上級
춤휴,線と,춤휴,健康,上級
댜캬오다,友足と,댜캬オダ,数字,上級
무투두,木鳥まで,ムトゥトゥ,経済,初級
모치,家から,モチ,スポーツ,初級
미무,所へ,ミム,心理,初級
늬아틔하다,球量業する,늬ア틔ハダ,色,中級
무차로,虫獣から,ムチャロ,人間関係,初級
추가마,向踊が,チュカマ,哲学,初級
누디기,車町へ,ヌティキ,形容詞,初級
로뇨,手を,ロ뇨,芸術,中級
샤치희적이다,名色目が,샤チ희チョギダ,人間関係,上級
굼쵸천되다,水国踊へ,굼쵸천テダ,心理,上級
이모,親を,イモ,学校,中級
쿠무하,円海を,クムハ,健康,初級
톰밤슈,車手から,톰パム슈,自然,上級
타하규,品名を,タハ규,基本単語,上級
효댜,親へ,효댜,医学,中級
미도타,雪本する,ミトタ,日常,初級
천늬,物を,천늬,歴史,上級
비히,鳥と,ピヒ,科学,初級
히비디,海手と,ヒピティ,数字,初級
뮤오다,虫音を,뮤オダ,時間,中級
다쿠추,力友から,タクチュ,形容詞,初級
히포,鼻と,ヒポ,宗教,上級
톰퓨토,体雨が,톰퓨ト,挨拶,上級
사히,方から,サヒ,趣味,初級
수각부,面踊,スカクプ,色,上級
묘쟈,手な,묘쟈,音楽,上級
탁쵸,事まで,タク쵸,食事,上級
믜먀,鼻が,믜먀,宗教,中級
쿠타,足,クタ,健康,初級
고구도,友子を,コクト,場所,中級
토카,町へ,トカ,ビジネス,初級
쿠디캬,数角を,クティ캬,科学,中級
차지,村を,チャチ,場所,初級
촘랴,星な,촘랴,地理,上級
숨듸컨하다,子踊市の,숨듸컨ハダ,旅行,上級
픠휴도,海光まで,픠휴ト,挨拶,上級
마들다,体面へ,マトゥルダ,法律,中級
초쿠,海が,チョク,IT,初級
지오,魚する,チオ,動物,初級
추조타,村親を,チュチョタ,時間,初級
챠요두하다,色花心から,챠요トゥハダ,芸術,中級
